symbol,current_pct_vs_200dma,latest_close,latest_200dma,peak_pct_above_200dma,peak_date
HINDALCO,0.04,977.0,976.6,31.43,2026-05-27
OLECTRA,-0.22,1207.2,1209.81,22.7,2026-07-02
VTL,0.31,554.0,552.28,36.99,2026-05-05
POLYCAB,0.4,8408.5,8374.88,28.98,2026-06-19
NSLNISP,-0.57,42.17,42.41,25.3,2026-06-02
ATGL,-0.59,611.65,615.25,37.15,2026-05-27
ANGELONE,0.64,288.0,286.18,35.93,2026-05-25
CUMMINSIND,-0.66,4945.0,4977.82,36.35,2026-05-27
SHRIRAMFIN,-0.83,994.1,1002.41,27.92,2026-04-20
COALINDIA,0.84,426.1,422.55,21.21,2026-04-30
HINDZINC,1.05,588.95,582.83,27.36,2026-05-14
MRPL,-1.1,164.6,166.43,22.02,2026-04-01
INDUSINDBK,-1.17,912.2,923.02,21.79,2026-07-22
AUBANK,1.29,1018.0,1004.99,21.33,2026-04-24
TRITURBINE,-1.29,554.2,561.45,41.4,2026-05-29
M&MFIN,-1.62,333.1,338.58,24.6,2026-08-10
FSL,-1.63,259.45,263.74,22.55,2026-08-05
SCI,1.85,274.4,269.42,46.04,2026-05-11
TATACOMM,-1.95,1666.5,1699.63,21.9,2026-06-22
NTPCGREEN,-1.97,93.47,95.34,21.01,2026-04-27
TATASTEEL,-1.99,187.97,191.78,21.0,2026-05-14
SUMICHEM,-2.29,446.35,456.83,24.82,2026-08-14
INDIANB,-2.29,832.0,851.47,22.88,2026-04-10
JINDALSTEL,2.63,1164.8,1134.9,21.23,2026-04-20
CCL,-2.65,1044.4,1072.83,25.5,2026-05-07
NATIONALUM,-2.86,358.7,369.24,60.86,2026-04-17
GODREJIND,2.98,1105.3,1073.34,37.0,2026-07-10
RAINBOW,3.32,1374.2,1329.98,21.99,2026-08-05
KEI,-3.33,4673.5,4834.28,26.94,2026-06-17
BSE,-3.62,3191.5,3311.48,57.21,2026-05-26
CREDITACC,-3.78,1298.8,1349.82,21.29,2026-07-30
AMBER,-4.0,6960.0,7250.23,20.65,2026-05-07
ADANIENSOL,4.08,1338.5,1286.0,53.11,2026-05-27
NMDC,-4.47,79.9,83.63,22.42,2026-06-03
TATATECH,4.77,703.05,671.06,35.18,2026-08-10
AIAENG,-4.79,3919.4,4116.43,33.67,2026-06-30
BRIGADE,5.0,597.9,569.44,24.56,2026-09-03
