symbol,current_pct_vs_200dma,latest_close,latest_200dma,peak_pct_above_200dma,peak_date
CREDITACC,0.01,1349.6,1349.44,21.29,2026-07-30
TATACOMM,-0.01,1700.6,1700.79,21.9,2026-06-22
MRPL,0.02,166.32,166.29,22.02,2026-04-01
NTPCGREEN,0.12,95.42,95.31,21.01,2026-04-27
TRITURBINE,0.14,562.1,561.29,41.4,2026-05-29
TATASTEEL,-0.35,190.82,191.48,21.0,2026-05-14
COALINDIA,0.61,424.55,421.97,21.21,2026-04-30
POLYCAB,0.65,8417.0,8362.33,28.98,2026-06-19
CUMMINSIND,0.75,5010.0,4972.73,36.35,2026-05-27
SHRIRAMFIN,0.99,1010.8,1000.86,27.92,2026-04-20
INDIANB,-1.04,842.0,850.88,22.88,2026-04-10
BSE,-1.07,3270.7,3306.02,57.21,2026-05-26
FSL,1.29,267.85,264.45,22.55,2026-08-05
NATIONALUM,-1.3,363.45,368.25,60.86,2026-04-17
SUMICHEM,1.6,464.2,456.89,24.82,2026-08-14
ATGL,1.66,625.25,615.03,37.15,2026-05-27
NMDC,-1.86,82.0,83.56,22.42,2026-06-03
VTL,1.88,561.45,551.07,36.99,2026-05-05
HINDCOPPER,-1.93,513.0,523.08,44.66,2026-04-17
KEI,-2.18,4722.5,4827.79,26.94,2026-06-17
HINDZINC,2.33,595.45,581.88,27.36,2026-05-14
AMBER,-2.52,7064.5,7247.12,20.65,2026-05-07
CCL,-2.69,1043.2,1072.09,25.5,2026-05-07
M&MFIN,2.94,348.6,338.64,24.6,2026-08-10
HINDALCO,2.96,1003.8,974.94,31.43,2026-05-27
GODREJIND,3.12,1106.0,1072.56,37.0,2026-07-10
AIAENG,-3.52,3970.0,4114.97,33.67,2026-06-30
NSLNISP,3.68,43.95,42.39,25.3,2026-06-02
JINDALSTEL,3.7,1175.3,1133.32,21.23,2026-04-20
SCI,3.78,279.05,268.89,46.04,2026-05-11
MANAPPURAM,3.88,320.4,308.44,25.27,2026-07-31
INDUSINDBK,4.02,959.3,922.24,21.79,2026-07-22
ENRIN,4.36,3214.4,3080.06,28.14,2026-05-29
GMDCLTD,-4.57,556.7,583.35,41.88,2026-04-16
AUBANK,4.81,1053.0,1004.71,21.33,2026-04-24
NAVA,-4.91,553.65,582.24,21.64,2026-05-11
ANGELONE,4.99,300.0,285.75,35.93,2026-05-25
