symbol,current_pct_vs_200dma,latest_close,latest_200dma,peak_pct_above_200dma,peak_date
DEEPAKFERT,0.1,1284.8,1283.51,29.98,2026-07-02
COALINDIA,-0.17,419.25,419.97,21.21,2026-04-30
VTL,0.27,547.0,545.52,36.99,2026-05-05
BANDHANBNK,-0.41,172.45,173.16,29.96,2026-06-16
MRPL,0.59,166.81,165.83,34.56,2026-03-17
BSE,0.67,3310.0,3287.87,57.21,2026-05-26
CCL,-0.71,1060.9,1068.44,25.5,2026-05-07
SCI,0.73,269.05,267.1,46.04,2026-05-11
HINDALCO,-0.95,958.7,967.86,31.43,2026-05-27
M&MFIN,1.06,342.3,338.71,24.6,2026-08-10
SUMICHEM,-1.06,451.95,456.8,24.82,2026-08-14
PHOENIXLTD,1.43,1833.6,1807.75,23.34,2026-07-13
CUMMINSIND,-1.51,4874.0,4948.94,36.35,2026-05-27
SHRIRAMFIN,-1.52,979.8,994.95,29.5,2026-03-18
INDIANB,-1.53,836.75,849.78,22.88,2026-04-10
ENRIN,-1.6,3028.7,3077.89,28.14,2026-05-29
NSLNISP,-2.09,41.45,42.33,25.3,2026-06-02
POLYCAB,-2.19,8143.5,8325.97,28.98,2026-06-19
TRITURBINE,-2.38,546.9,560.24,41.4,2026-05-29
TATACOMM,2.61,1748.2,1703.67,21.9,2026-06-22
OLECTRA,-2.62,1179.2,1210.96,22.7,2026-07-02
AUBANK,2.71,1028.0,1000.91,21.33,2026-04-24
JINDALSTEL,-3.0,1095.0,1128.87,21.23,2026-04-20
BHARATFORG,3.02,1877.2,1822.09,37.17,2026-05-07
HINDZINC,-3.04,560.9,578.47,27.36,2026-05-14
GODREJIND,3.27,1104.0,1069.05,37.0,2026-07-10
AMBER,-3.29,7000.0,7238.32,20.65,2026-05-07
UNIONBANK,3.31,175.0,169.39,24.41,2026-04-22
NMDC,-3.36,80.5,83.3,22.42,2026-06-03
TATASTEEL,-3.71,183.65,190.72,21.0,2026-05-14
MANAPPURAM,3.89,318.85,306.92,25.27,2026-07-31
NATIONALUM,-3.94,350.55,364.94,60.86,2026-04-17
INDUSINDBK,4.14,956.5,918.48,21.79,2026-07-22
SAIL,4.16,173.0,166.09,39.53,2026-05-13
ABCAPITAL,4.5,378.8,362.47,21.04,2026-08-03
ZENTEC,4.56,1638.9,1567.48,36.67,2026-06-19
ANGELONE,4.62,297.5,284.37,35.93,2026-05-25
CREDITACC,4.66,1409.6,1346.81,21.29,2026-07-30
GESHIP,4.82,1390.4,1326.53,46.51,2026-05-21
LODHA,4.87,1064.8,1015.39,29.88,2026-07-29
