symbol,current_pct_vs_200dma,latest_close,latest_200dma,peak_pct_above_200dma,peak_date
CCL,-0.0,1071.0,1071.03,25.5,2026-05-07
JINDALSTEL,-0.1,1130.6,1131.75,21.23,2026-04-20
NSLNISP,0.18,42.44,42.36,25.3,2026-06-02
POLYCAB,0.24,8369.5,8349.57,28.98,2026-06-19
OLECTRA,-0.26,1205.8,1208.95,22.7,2026-07-02
SUMICHEM,-0.5,454.55,456.86,24.82,2026-08-14
MRPL,0.55,167.03,166.12,23.83,2026-03-25
VTL,0.79,554.15,549.79,36.99,2026-05-05
HINDALCO,0.82,981.2,973.23,31.43,2026-05-27
TRITURBINE,-0.97,555.65,561.1,41.4,2026-05-29
INDIANB,-1.09,841.0,850.24,22.88,2026-04-10
SHRIRAMFIN,1.26,1011.8,999.18,27.92,2026-04-20
COALINDIA,-1.58,414.7,421.35,21.21,2026-04-30
FSL,1.63,269.45,265.12,22.55,2026-08-05
TATACOMM,1.81,1732.7,1701.91,21.9,2026-06-22
HINDZINC,1.89,591.8,580.81,27.36,2026-05-14
AMBER,-1.99,7098.0,7241.86,20.65,2026-05-07
CUMMINSIND,2.01,5067.0,4966.98,36.35,2026-05-27
MANAPPURAM,2.31,315.1,307.98,25.27,2026-07-31
GODREJIND,2.8,1101.7,1071.68,37.0,2026-07-10
BANDHANBNK,2.96,179.0,173.85,29.96,2026-06-16
CREDITACC,3.29,1393.0,1348.61,21.29,2026-07-30
HINDCOPPER,-3.39,503.95,521.63,44.66,2026-04-17
AUBANK,3.4,1038.0,1003.82,21.33,2026-04-24
JPPOWER,-3.45,16.48,17.07,30.7,2026-05-27
INDUSINDBK,3.78,956.0,921.21,21.79,2026-07-22
ANGELONE,3.8,296.15,285.31,35.93,2026-05-25
ATGL,3.87,638.4,614.62,37.15,2026-05-27
NATIONALUM,-4.04,352.5,367.32,60.86,2026-04-17
TATASTEEL,-4.09,183.4,191.22,21.0,2026-05-14
NTPCGREEN,-4.21,91.26,95.27,21.01,2026-04-27
AIAENG,-4.21,3941.0,4114.12,33.67,2026-06-30
BSE,-4.26,3161.0,3301.49,57.21,2026-05-26
NMDC,-4.41,79.8,83.48,22.42,2026-06-03
ENRIN,4.44,3214.7,3078.02,28.14,2026-05-29
SCI,4.55,280.55,268.33,46.04,2026-05-11
NAVA,-4.68,554.65,581.88,21.64,2026-05-11
UNIONBANK,4.69,178.09,170.11,24.41,2026-04-22
KEI,-4.7,4596.0,4822.55,26.94,2026-06-17
M&MFIN,4.74,354.7,338.65,24.6,2026-08-10
