symbol,current_pct_vs_200dma,latest_close,latest_200dma,peak_pct_above_200dma,peak_date
AMBER,0.07,7245.0,7239.83,20.65,2026-05-07
OLECTRA,-0.16,1209.5,1211.48,22.7,2026-07-02
HINDZINC,-0.27,576.45,578.0,27.36,2026-05-14
AIAENG,-0.3,4096.6,4108.94,33.67,2026-06-30
INDIANB,0.42,853.5,849.94,22.88,2026-04-10
JINDALSTEL,-0.72,1120.5,1128.6,21.23,2026-04-20
HINDCOPPER,-0.84,514.5,518.86,44.66,2026-04-17
NATIONALUM,-0.95,361.0,364.47,60.86,2026-04-17
POLYCAB,-0.98,8241.0,8322.47,28.98,2026-06-19
NMDC,-1.03,82.4,83.25,22.42,2026-06-03
CCL,1.2,1081.0,1068.22,25.5,2026-05-07
HINDALCO,1.49,981.5,967.05,31.43,2026-05-27
COALINDIA,1.6,426.4,419.7,21.21,2026-04-30
TRITURBINE,1.69,569.65,560.2,41.4,2026-05-29
THERMAX,-1.78,3682.0,3748.55,50.37,2026-05-29
BANDHANBNK,2.01,176.52,173.04,29.96,2026-06-16
CUMMINSIND,2.5,5070.0,4946.33,36.35,2026-05-27
DEEPAKFERT,2.84,1320.4,1283.99,29.98,2026-07-02
GMDCLTD,-2.85,575.35,592.22,41.88,2026-04-16
BSE,2.99,3384.0,3285.72,57.21,2026-05-26
NSLNISP,3.12,43.66,42.34,25.3,2026-06-02
ATGL,-3.19,594.8,614.41,37.15,2026-05-27
ENRIN,3.35,3181.3,3078.28,28.14,2026-05-29
TATACOMM,3.37,1761.6,1704.1,21.9,2026-06-22
SHRIRAMFIN,3.44,1028.6,994.36,29.5,2026-03-18
VTL,3.9,566.2,544.93,36.99,2026-05-05
SAMMAANCAP,-3.96,147.3,153.37,22.49,2026-06-05
TATASTEEL,-4.0,183.0,190.62,21.0,2026-05-14
SUMICHEM,4.29,476.4,456.82,24.82,2026-08-14
PHOENIXLTD,4.58,1890.0,1807.23,23.34,2026-07-13
KEI,-4.82,4578.0,4810.04,26.94,2026-06-17
NAVA,-4.98,551.85,580.77,21.64,2026-05-11
