symbol,current_pct_vs_200dma,latest_close,latest_200dma,peak_pct_above_200dma,peak_date
JINDALSTEL,-0.14,1128.4,1129.99,21.23,2026-04-20
SHRIRAMFIN,-0.23,995.0,997.3,27.92,2026-04-20
SUMICHEM,-0.29,455.45,456.76,24.82,2026-08-14
TRITURBINE,-0.64,556.8,560.38,41.4,2026-05-29
COALINDIA,-0.68,418.0,420.85,21.21,2026-04-30
CCL,-0.68,1062.3,1069.6,25.5,2026-05-07
SCI,0.82,270.0,267.79,46.04,2026-05-11
HINDALCO,1.03,980.5,970.47,31.43,2026-05-27
ENRIN,1.04,3109.1,3077.01,28.14,2026-05-29
BSE,-1.06,3259.0,3293.81,57.21,2026-05-26
INDIANB,-1.07,840.5,849.61,22.88,2026-04-10
BANDHANBNK,-1.17,171.5,173.53,29.96,2026-06-16
HINDZINC,-1.29,572.3,579.78,27.36,2026-05-14
CUMMINSIND,1.32,5020.0,4954.66,36.35,2026-05-27
MRPL,-1.35,163.77,166.01,27.77,2026-03-20
POLYCAB,-1.5,8208.5,8333.61,28.98,2026-06-19
NSLNISP,-1.64,41.64,42.33,25.3,2026-06-02
CREDITACC,1.75,1370.8,1347.2,21.29,2026-07-30
TATASTEEL,-1.95,187.29,191.01,21.0,2026-05-14
OLECTRA,-1.96,1186.2,1209.92,22.7,2026-07-02
M&MFIN,2.11,345.7,338.55,24.6,2026-08-10
VTL,2.5,561.3,547.6,36.99,2026-05-05
AMBER,-2.65,7046.0,7237.64,20.65,2026-05-07
FSL,2.74,273.1,265.82,22.55,2026-08-05
MANAPPURAM,2.77,316.05,307.55,25.27,2026-07-31
NATIONALUM,-2.93,355.7,366.44,60.86,2026-04-17
AIAENG,-3.1,3983.4,4110.98,33.67,2026-06-30
NMDC,-3.14,80.8,83.42,22.42,2026-06-03
DEEPAKFERT,3.25,1324.6,1282.92,29.98,2026-07-02
PHOENIXLTD,3.45,1872.2,1809.73,23.34,2026-07-13
ANGELONE,3.58,295.0,284.8,35.93,2026-05-25
AUBANK,3.75,1039.3,1001.77,21.33,2026-04-24
INDUSINDBK,4.14,958.2,920.14,21.79,2026-07-22
ATGL,-4.4,587.0,614.04,37.15,2026-05-27
UNIONBANK,4.87,178.09,169.81,24.41,2026-04-22
BHARATFORG,4.88,1918.7,1829.42,37.17,2026-05-07
IKS,4.88,1728.9,1648.43,20.98,2026-07-10
SAIL,4.98,175.01,166.71,39.53,2026-05-13
