symbol,current_pct_vs_200dma,latest_close,latest_200dma,peak_pct_above_200dma,peak_date
POLYCAB,-0.02,8366.5,8368.37,28.98,2026-06-19
CUMMINSIND,-0.05,4973.0,4975.49,36.35,2026-05-27
COALINDIA,-0.06,422.0,422.25,21.21,2026-04-30
NTPCGREEN,0.1,95.43,95.33,21.01,2026-04-27
NSLNISP,0.32,42.54,42.4,25.3,2026-06-02
INDUSINDBK,-0.34,919.5,922.62,21.79,2026-07-22
M&MFIN,0.38,339.9,338.61,24.6,2026-08-10
ATGL,-0.45,612.4,615.14,37.15,2026-05-27
AUBANK,-0.47,1000.1,1004.86,21.33,2026-04-24
HINDALCO,0.63,982.0,975.81,31.43,2026-05-27
FSL,-0.74,262.15,264.09,22.55,2026-08-05
HINDZINC,0.81,587.15,582.41,27.36,2026-05-14
MRPL,-1.12,164.49,166.36,22.02,2026-04-01
SHRIRAMFIN,-1.16,990.0,1001.6,27.92,2026-04-20
SUMICHEM,-1.57,449.7,456.87,24.82,2026-08-14
ANGELONE,1.66,290.7,285.96,35.93,2026-05-25
TRITURBINE,-1.7,551.8,561.33,41.4,2026-05-29
TATACOMM,-1.78,1670.0,1700.19,21.9,2026-06-22
TATASTEEL,-1.89,188.02,191.64,21.0,2026-05-14
JINDALSTEL,2.09,1157.8,1134.11,21.23,2026-04-20
VTL,2.15,563.6,551.72,36.99,2026-05-05
GODREJIND,2.43,1099.0,1072.97,37.0,2026-07-10
INDIANB,-2.48,830.0,851.14,22.88,2026-04-10
CREDITACC,-2.56,1315.1,1349.68,21.29,2026-07-30
SCI,2.77,276.6,269.16,46.04,2026-05-11
NATIONALUM,-2.8,358.4,368.74,60.86,2026-04-17
OLECTRA,2.84,1244.0,1209.69,22.7,2026-07-02
CCL,-3.07,1039.5,1072.44,25.5,2026-05-07
NMDC,-3.32,80.82,83.6,22.42,2026-06-03
BSE,-3.77,3183.8,3308.4,57.21,2026-05-26
AIAENG,-3.94,3953.4,4115.59,33.67,2026-06-30
KEI,-4.02,4636.5,4830.63,26.94,2026-06-17
ZENTEC,4.07,1645.7,1581.38,36.67,2026-06-19
NAVA,-4.34,557.0,582.26,21.64,2026-05-11
ENRIN,4.36,3215.4,3081.0,28.14,2026-05-29
ADANIENSOL,4.38,1340.5,1284.23,53.11,2026-05-27
AMBER,-4.65,6911.0,7248.26,20.65,2026-05-07
BANDHANBNK,4.76,182.9,174.58,29.96,2026-06-16
