symbol,current_pct_vs_200dma,latest_close,latest_200dma,peak_pct_above_200dma,peak_date
CCL,-0.38,1065.6,1069.62,25.5,2026-05-07
MRPL,-0.41,165.38,166.05,23.83,2026-03-25
NSLNISP,0.62,42.6,42.34,25.3,2026-06-02
POLYCAB,0.67,8400.0,8344.29,28.98,2026-06-19
BANDHANBNK,0.83,175.0,173.55,29.96,2026-06-16
SUMICHEM,0.89,460.85,456.79,24.82,2026-08-14
BSE,-0.9,3266.4,3295.97,57.21,2026-05-26
JINDALSTEL,-0.92,1119.5,1129.95,21.23,2026-04-20
OLECTRA,-0.92,1198.8,1209.99,22.7,2026-07-02
INDIANB,-1.15,839.8,849.6,22.88,2026-04-10
SHRIRAMFIN,1.18,1010.0,998.23,27.92,2026-04-20
TRITURBINE,1.31,567.8,560.43,41.4,2026-05-29
AMBER,-1.56,7125.0,7238.04,20.65,2026-05-07
HINDALCO,1.65,986.5,970.5,31.43,2026-05-27
COALINDIA,-2.66,409.9,421.1,21.21,2026-04-30
HINDZINC,2.71,596.0,580.29,27.36,2026-05-14
CUMMINSIND,2.8,5099.5,4960.79,36.35,2026-05-27
TATASTEEL,-2.92,185.54,191.12,21.0,2026-05-14
CREDITACC,2.94,1387.6,1347.91,21.29,2026-07-30
FSL,3.0,273.45,265.49,22.55,2026-08-05
NAVA,-3.25,562.3,581.2,21.64,2026-05-11
AIAENG,-3.35,3973.3,4110.93,33.67,2026-06-30
SCI,3.44,277.05,267.83,46.04,2026-05-11
GODREJIND,3.44,1107.4,1070.56,37.0,2026-07-10
KEI,-3.54,4650.0,4820.47,26.94,2026-06-17
MANAPPURAM,3.77,319.15,307.56,25.27,2026-07-31
PHOENIXLTD,3.77,1877.9,1809.75,23.34,2026-07-13
UNIONBANK,3.88,176.56,169.96,24.41,2026-04-22
M&MFIN,4.35,353.3,338.58,24.6,2026-08-10
NATIONALUM,-4.47,350.5,366.88,60.86,2026-04-17
TATACOMM,4.52,1780.1,1703.15,21.9,2026-06-22
HINDCOPPER,-4.52,497.4,520.93,44.66,2026-04-17
DEEPAKFERT,4.69,1343.2,1283.02,29.98,2026-07-02
ENRIN,4.89,3228.0,3077.43,28.14,2026-05-29
INDUSINDBK,4.95,966.3,920.74,21.79,2026-07-22
