symbol,current_pct_vs_200dma,latest_close,latest_200dma,peak_pct_above_200dma,peak_date
POLYCAB,-0.06,8350.0,8355.21,28.98,2026-06-19
HINDALCO,-0.1,973.0,974.0,31.43,2026-05-27
CUMMINSIND,-0.15,4962.5,4969.73,36.35,2026-05-27
SUMICHEM,0.15,457.5,456.82,24.82,2026-08-14
VTL,0.15,551.2,550.4,36.99,2026-05-05
NSLNISP,0.33,42.51,42.37,25.3,2026-06-02
TATACOMM,-0.52,1692.4,1701.27,21.9,2026-06-22
SHRIRAMFIN,0.6,1006.0,999.95,27.92,2026-04-20
CREDITACC,0.66,1357.9,1348.95,21.29,2026-07-30
OLECTRA,0.68,1217.2,1208.95,22.7,2026-07-02
JINDALSTEL,0.76,1141.0,1132.43,21.23,2026-04-20
MRPL,-1.05,164.44,166.19,23.83,2026-03-25
INDIANB,-1.14,840.8,850.49,22.88,2026-04-10
COALINDIA,1.5,428.0,421.66,21.21,2026-04-30
HINDZINC,1.58,590.5,581.31,27.36,2026-05-14
FSL,1.79,269.5,264.77,22.55,2026-08-05
ATGL,1.86,626.25,614.78,37.15,2026-05-27
TRITURBINE,-1.93,550.3,561.15,41.4,2026-05-29
CCL,-2.01,1050.0,1071.55,25.5,2026-05-07
NTPCGREEN,-2.07,93.31,95.28,21.01,2026-04-27
BSE,-2.08,3235.0,3303.63,57.21,2026-05-26
GODREJIND,2.56,1099.6,1072.11,37.0,2026-07-10
HINDCOPPER,-2.7,508.2,522.32,44.66,2026-04-17
AUBANK,3.21,1036.4,1004.21,21.33,2026-04-24
TATASTEEL,-3.32,184.97,191.33,21.0,2026-05-14
AMBER,-3.37,7000.0,7244.05,20.65,2026-05-07
ANGELONE,3.37,295.1,285.49,35.93,2026-05-25
MANAPPURAM,3.61,319.3,308.19,25.27,2026-07-31
INDUSINDBK,3.62,955.0,921.64,21.79,2026-07-22
NMDC,-3.96,80.2,83.51,22.42,2026-06-03
SAIL,3.97,174.01,167.37,39.53,2026-05-13
M&MFIN,4.07,352.4,338.62,24.6,2026-08-10
NATIONALUM,-4.23,352.2,367.75,60.86,2026-04-17
DEEPAKFERT,4.4,1340.4,1283.85,29.98,2026-07-02
UNIONBANK,4.55,178.0,170.26,24.41,2026-04-22
AIAENG,-4.65,3923.4,4114.52,33.67,2026-06-30
SCI,4.66,281.1,268.59,46.04,2026-05-11
GMDCLTD,-4.94,563.65,592.97,41.88,2026-04-16
